GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
parking-system,com.parkit.parkingsystem.service,FareCalculatorService,5,91,2,9,1,20,2,7,0,3
parking-system,com.parkit.parkingsystem.service,ParkingService,52,236,5,8,17,64,5,10,0,8
parking-system,com.parkit.parkingsystem.service,InteractiveShell,72,0,6,0,28,0,8,0,4,0
parking-system,com.parkit.parkingsystem,App,12,0,0,0,5,0,3,0,3,0
parking-system,com.parkit.parkingsystem.model,ParkingSpot,3,59,3,5,1,20,3,10,0,9
parking-system,com.parkit.parkingsystem.model,Userrec,3,7,0,0,1,3,1,2,1,2
parking-system,com.parkit.parkingsystem.model,Ticket,0,45,0,0,0,19,0,13,0,13
parking-system,com.parkit.parkingsystem.constants,Fare,3,0,0,0,1,0,1,0,1,0
parking-system,com.parkit.parkingsystem.constants,ParkingType,0,24,0,0,0,2,0,1,0,1
parking-system,com.parkit.parkingsystem.constants,DBConstants,3,0,0,0,1,0,1,0,1,0
parking-system,com.parkit.parkingsystem.util,InputReaderUtil,0,58,1,3,0,19,1,6,0,5
parking-system,com.parkit.parkingsystem.dao,TicketDAO,25,198,2,2,8,47,2,5,0,5
parking-system,com.parkit.parkingsystem.dao,UserDAO,57,47,1,1,12,15,3,2,2,2
parking-system,com.parkit.parkingsystem.dao,ParkingSpotDAO,15,104,2,2,5,28,2,4,0,4
parking-system,com.parkit.parkingsystem.config,DataBaseConfig,15,45,3,3,6,20,3,6,0,6
